dataset_name,dataset_id,recording_idx,cell_num,unit_id,unit_type,n_samples,fps,duration_sec,n_spikes,split
data.1.train.preprocessed.mat,1,1,NaN,dataset_1_recording_1,recording_idx,71986,100.000194883485,719.858597114478,2145,train
data.1.train.preprocessed.mat,1,2,NaN,dataset_1_recording_2,recording_idx,71987,100.000434442974,719.866872588947,1296,train
data.1.train.preprocessed.mat,1,3,NaN,dataset_1_recording_3,recording_idx,35993,99.9990156156295,359.933543129543,375,train
data.1.train.preprocessed.mat,1,4,NaN,dataset_1_recording_4,recording_idx,71985,100.000299811739,719.847841811664,950,train
data.1.train.preprocessed.mat,1,5,NaN,dataset_1_recording_5,recording_idx,71986,100.000188500412,719.858643063492,1079,train
data.1.train.preprocessed.mat,1,6,NaN,dataset_1_recording_6,recording_idx,71987,100.000016742325,719.869879477046,2620,test
data.1.train.preprocessed.mat,1,7,NaN,dataset_1_recording_7,recording_idx,71986,99.9996686935087,719.86238495081,2496,train
data.1.train.preprocessed.mat,1,8,NaN,dataset_1_recording_8,recording_idx,71985,99.9998968883357,719.850742250081,1012,validation
data.1.train.preprocessed.mat,1,9,NaN,dataset_1_recording_9,recording_idx,71986,99.9996686935087,719.86238495081,678,train
data.1.train.preprocessed.mat,1,10,NaN,dataset_1_recording_10,recording_idx,59717,100.000195873149,597.168830306605,872,test
data.1.train.preprocessed.mat,1,11,NaN,dataset_1_recording_11,recording_idx,71986,100.000161497187,719.858837448228,220,validation
data.2.train.preprocessed.mat,2,1,NaN,dataset_2_recording_1,recording_idx,35508,99.9996244995682,355.08133333194,2109,test
data.2.train.preprocessed.mat,2,2,NaN,dataset_2_recording_2,recording_idx,63034,99.9999936536123,630.340040003823,251,train
data.2.train.preprocessed.mat,2,3,NaN,dataset_2_recording_3,recording_idx,37082,100.000828285881,370.816928575736,293,test
data.2.train.preprocessed.mat,2,4,NaN,dataset_2_recording_4,recording_idx,54398,100.000230211582,543.97874769792,1381,train
data.2.train.preprocessed.mat,2,5,NaN,dataset_2_recording_5,recording_idx,45599,99.9993884373586,455.992788681543,1394,validation
data.2.train.preprocessed.mat,2,6,NaN,dataset_2_recording_6,recording_idx,33685,100.000301377429,336.848984813191,361,validation
data.2.train.preprocessed.mat,2,7,NaN,dataset_2_recording_7,recording_idx,48929,99.9994251876458,489.292812515535,751,train
data.2.train.preprocessed.mat,2,8,NaN,dataset_2_recording_8,recording_idx,45014,100.00088849369,450.136000570037,2265,validation
data.2.train.preprocessed.mat,2,9,NaN,dataset_2_recording_9,recording_idx,27414,99.9997228542114,274.14075976957,526,train
data.2.train.preprocessed.mat,2,10,NaN,dataset_2_recording_10,recording_idx,48039,99.9994834208249,480.392481607519,525,test
data.2.train.preprocessed.mat,2,11,NaN,dataset_2_recording_11,recording_idx,59274,100.000543600459,592.736777880152,528,train
data.2.train.preprocessed.mat,2,12,NaN,dataset_2_recording_12,recording_idx,32049,99.9995640000989,320.491397342175,217,train
data.2.train.preprocessed.mat,2,13,NaN,dataset_2_recording_13,recording_idx,56189,99.9993257505036,561.89378856604,797,train
data.2.train.preprocessed.mat,2,14,NaN,dataset_2_recording_14,recording_idx,56241,99.9998737266835,562.410710174656,235,train
data.2.train.preprocessed.mat,2,15,NaN,dataset_2_recording_15,recording_idx,47032,100.000749691275,470.316474078431,358,validation
data.2.train.preprocessed.mat,2,16,NaN,dataset_2_recording_16,recording_idx,38917,100.001254995748,389.165115994342,415,train
data.2.train.preprocessed.mat,2,17,NaN,dataset_2_recording_17,recording_idx,25709,100.000460306905,257.088816602425,325,train
data.2.train.preprocessed.mat,2,18,NaN,dataset_2_recording_18,recording_idx,56555,99.9996978834497,565.551708625312,2365,test
data.2.train.preprocessed.mat,2,19,NaN,dataset_2_recording_19,recording_idx,21252,99.9979806845811,212.524291535788,587,train
data.2.train.preprocessed.mat,2,20,NaN,dataset_2_recording_20,recording_idx,31077,100.00142391772,310.765574953911,130,train
data.2.train.preprocessed.mat,2,21,NaN,dataset_2_recording_21,recording_idx,9682,100.000593801544,96.8194250847587,43,train
data.3.train.preprocessed.mat,3,1,2,dataset_3_cell_2,cell_num,53229,100.000114674259,532.289389601088,666,validation
data.3.train.preprocessed.mat,3,2,2,dataset_3_cell_2,cell_num,60908,99.9996003444444,609.082434231786,1240,validation
data.3.train.preprocessed.mat,3,3,3,dataset_3_cell_3,cell_num,24401,99.9983830476719,244.013945589174,571,test
data.3.train.preprocessed.mat,3,4,3,dataset_3_cell_3,cell_num,20014,99.9990535871405,200.141894168624,628,test
data.3.train.preprocessed.mat,3,5,4,dataset_3_cell_4,cell_num,27003,100.001279191729,270.026545842759,835,validation
data.3.train.preprocessed.mat,3,6,4,dataset_3_cell_4,cell_num,16802,99.9987162017924,168.022157065441,64,validation
data.3.train.preprocessed.mat,3,7,4,dataset_3_cell_4,cell_num,60957,100.000127825,609.569220818143,2265,validation
data.3.train.preprocessed.mat,3,8,6,dataset_3_cell_6,cell_num,60908,99.9996003444444,609.082434231786,1257,train
data.3.train.preprocessed.mat,3,9,7,dataset_3_cell_7,cell_num,60908,99.9996003444444,609.082434231786,1793,train
data.3.train.preprocessed.mat,3,10,7,dataset_3_cell_7,cell_num,60957,100.000127825,609.569220818143,2687,train
data.3.train.preprocessed.mat,3,11,8,dataset_3_cell_8,cell_num,60908,99.9996003444444,609.082434231786,1535,train
data.3.train.preprocessed.mat,3,12,9,dataset_3_cell_9,cell_num,60908,99.9996003444444,609.082434231786,1864,train
data.3.train.preprocessed.mat,3,13,11,dataset_3_cell_11,cell_num,60908,99.9996003444444,609.082434231786,1022,train
data.4.train.preprocessed.mat,4,1,NaN,dataset_4_recording_1,recording_idx,27763,99.9992796219456,277.632,1902,train
data.4.train.preprocessed.mat,4,2,NaN,dataset_4_recording_2,recording_idx,33280,100,332.8,820,train
data.4.train.preprocessed.mat,4,3,NaN,dataset_4_recording_3,recording_idx,33229,100.000601887519,332.288,2692,train
data.4.train.preprocessed.mat,4,4,NaN,dataset_4_recording_4,recording_idx,32000,100,320,463,test
data.4.train.preprocessed.mat,4,5,NaN,dataset_4_recording_5,recording_idx,32973,100.000606560559,329.728,959,train
data.4.train.preprocessed.mat,4,6,NaN,dataset_4_recording_6,recording_idx,31066,100.001287597857,310.656,1650,validation
data.5.train.preprocessed.mat,5,1,0,dataset_5_cell_0,cell_num,16919,100.00025707,169.189565064385,476,train
data.5.train.preprocessed.mat,5,2,0,dataset_5_cell_0,cell_num,16919,100.00025707,169.189565064385,474,train
