model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.41432757781343,0.42005983905358,0.118179005410659,0.507263510347043,0.503994706671446,0,0,0.0145642017601359,0.332881908840014,0.341012013034919,0.1,0.5,0.5,0.4,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.41432757781343,0.42005983905358,0.118179005410659,0.507263510347043,0.503994706671446,0,0,0.0145642017601359,0.332881908840014,0.341012013034919,0.1,0.5,0.5,0.4,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.41432757781343,0.42005983905358,0.118179005410659,0.507263510347043,0.503994706671446,0,0,0.0145642017601359,0.332881908840014,0.341012013034919,0.1,0.5,0.5,0.4,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.41432757781343,0.42005983905358,0.118179005410659,0.507263510347043,0.503994706671446,0,0,0.0145642017601359,0.332881908840014,0.341012013034919,0.1,0.5,0.5,0.4,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.385392733581232,0.380392782162694,0.116614499996409,0.507191360988527,0.450676221434696,0.00714284895184805,0,0.0167986954610815,0.297880605244395,0.31821176638389,0.1,0.5,0.5,0.4,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.417561551040931,0.419385206532181,0.114998911996787,0.537921759043935,0.48232017594497,0,0,0.0146993343380979,0.32045197468634,0.330632831136554,0.1,0.5,0.5,0.5,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.417561551040931,0.419385206532181,0.114998911996787,0.537921759043935,0.48232017594497,0,0,0.0146993343380979,0.32045197468634,0.330632831136554,0.1,0.5,0.5,0.5,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.417561551040931,0.419385206532181,0.114998911996787,0.537921759043935,0.48232017594497,0,0,0.0146993343380979,0.32045197468634,0.330632831136554,0.1,0.5,0.5,0.5,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.417561551040931,0.419385206532181,0.114998911996787,0.537921759043935,0.48232017594497,0,0,0.0146993343380979,0.32045197468634,0.330632831136554,0.1,0.5,0.5,0.5,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.388604377813406,0.4026305266457,0.117373034851918,0.53643058109892,0.433372083407434,0.00714284895184805,0,0.0166487358799262,0.288193324892661,0.306033111346474,0.1,0.5,0.5,0.5,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418906338881364,0.435273279783172,0.111086636197673,0.568639479385284,0.458555728316327,0,0,0.0147860045387239,0.308030853598197,0.317755949582409,0.1,0.5,0.5,0.6,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418906338881364,0.435273279783172,0.111086636197673,0.568639479385284,0.458555728316327,0,0,0.0147860045387239,0.308030853598197,0.317755949582409,0.1,0.5,0.5,0.6,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418906338881364,0.435273279783172,0.111086636197673,0.568639479385284,0.458555728316327,0,0,0.0147860045387239,0.308030853598197,0.317755949582409,0.1,0.5,0.5,0.6,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
