model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,100,burst_onsets,14,0.269574308347033,0.263310131079838,0.143395335795263,0.175607210030789,0.834583642217397,0.0557142011647538,0.0499999504338126,-0.0232107529004396,0.400309737962112,0.431741667677822,0.1,0.5,0.5,0.4,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.302203896804126,0.294785419102576,0.140770990877427,0.200905093202725,0.829369818665416,0.0471427565704545,0.0499997025344209,-0.0152930700659457,0.435437568995869,0.447049067313351,0.1,0.5,0.5,0.4,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.336400065062867,0.326340169957191,0.138583457370801,0.231530631142477,0.811208338388039,0.0421427558317948,0.0400003790762141,-0.00429385056389926,0.458622160046567,0.475811389486389,0.1,0.5,0.5,0.4,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.338782912870905,0.331977351183822,0.138427592708067,0.233986010898599,0.807493562643606,0.0414284609474042,0.0400001429356304,-0.00260082160812713,0.46109104228692,0.477464275414332,0.1,0.5,0.5,0.4,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.349391184264761,0.359884722921553,0.134226618431407,0.252108472259063,0.744074597436602,0.0435713109888874,0.0449998004179567,0.00493707819986459,0.420452619914144,0.44982118231368,0.1,0.5,0.5,0.4,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.283822254663722,0.272189980964762,0.145956090867025,0.190688314240684,0.794622911962277,0.0535713369183757,0.0499999504338126,-0.0217566269290197,0.385265493872963,0.416237954346432,0.1,0.5,0.5,0.5,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.316687055496468,0.323694412958126,0.140271586595895,0.217397522013958,0.788789918440374,0.0471427556472795,0.0499997025344209,-0.01435443591215,0.415422728532746,0.432430299008134,0.1,0.5,0.5,0.5,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.350820739480897,0.350761095441947,0.135637539149937,0.249618250336027,0.772130899877698,0.0428570407269796,0.0449999348676182,-0.0036256335288141,0.437825399724864,0.447368150513871,0.1,0.5,0.5,0.5,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.353507630950251,0.356838929363927,0.13519873008032,0.252497972417289,0.769237173805573,0.0414284609474042,0.0400001429356304,-0.0021898797609276,0.439910460247245,0.450122963552843,0.1,0.5,0.5,0.5,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.363273414997492,0.382960935054843,0.132277064430251,0.271621092693415,0.71028440667391,0.0432141713049081,0.0424999224039722,0.0052484960724675,0.401863142615547,0.432961679234105,0.1,0.5,0.5,0.5,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.300495431250378,0.277100598874841,0.151427711006156,0.209465406032598,0.758056240920362,0.0528570563328135,0.0499999504338126,-0.0202011022768435,0.374752520243727,0.389934802298615,0.1,0.5,0.5,0.6,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.333681185852398,0.352963430670646,0.143052912591482,0.237723575528642,0.752473519820663,0.0464284717692033,0.0499997025344209,-0.0130601832036893,0.401182642404182,0.416069742913796,0.1,0.5,0.5,0.6,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.366339494482121,0.384049990423291,0.135791848282021,0.270707133344581,0.734427315870468,0.0428570407269796,0.0449999348676182,-0.0029674309829961,0.417855048660138,0.428053187609968,0.1,0.5,0.5,0.6,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.369161751809236,0.388195001616631,0.135385642924003,0.273915550167308,0.731210765194768,0.0414284609474042,0.0400001429356304,-0.00141470629115003,0.419162188387944,0.430945739958285,0.1,0.5,0.5,0.6,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.376449065654591,0.395905106415557,0.130598920648421,0.292693311430224,0.676150001639792,0.0435713109888874,0.0449998004179567,0.0055367736916109,0.384780459253846,0.408889935466433,0.1,0.5,0.5,0.6,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.312000095583487,0.274677116195864,0.152630156839658,0.226148010068596,0.715373278805275,0.0514284801594517,0.0499997025344209,-0.018322004507248,0.361443781593537,0.379393035776829,0.1,0.5,0.5,0.7,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.345180110599019,0.354358529036124,0.141756811607891,0.256170475739587,0.70916935916734,0.0453570373097922,0.0474997013048288,-0.0114327839073595,0.38382646318543,0.395727586326538,0.1,0.5,0.5,0.7,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.377193229458769,0.41425136184343,0.132491239780882,0.29056210145175,0.691956536717371,0.0428570393316597,0.0425000568536337,-0.00232017511002826,0.395026700500221,0.401875149143921,0.1,0.5,0.5,0.7,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.379920081607061,0.416001568948464,0.132347405292273,0.293968516132141,0.688951376382932,0.0417855978407437,0.0400001429356304,-0.000964070636198489,0.396318861872571,0.399689358766277,0.1,0.5,0.5,0.7,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.385147049973898,0.417012210815294,0.127297045214031,0.31278162202143,0.638548657605878,0.04285702952411,0.0424999224039722,0.0059318755677984,0.365139407318351,0.377713537019461,0.1,0.5,0.5,0.7,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.321044323170653,0.284956224964622,0.155063105009096,0.245062982063667,0.660701560512173,0.0507142017596826,0.0499994559832313,-0.016856141341974,0.337712600082229,0.349326137590278,0.1,0.5,0.5,0.8,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.353329288315089,0.366820775733162,0.143224715864755,0.276161912629182,0.654708888361795,0.0446427536319533,0.0425004111715814,-0.010239098731801,0.357150981528591,0.373118352536863,0.1,0.5,0.5,0.8,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.385136440454557,0.418852272270394,0.132268997541547,0.312609910822182,0.641936479788828,0.041785601405322,0.0399999976875287,-0.000930434627043595,0.368005820255548,0.374621103230363,0.1,0.5,0.5,0.8,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.38795919446299,0.422375496843582,0.132475658876913,0.316396591983842,0.638975461092598,0.0414284539631267,0.0399999976875287,0.000193927180115095,0.36941866018919,0.374431708837804,0.1,0.5,0.5,0.8,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.39014940987564,0.415786240786241,0.127837983855159,0.334287521548314,0.590017693234563,0.0428570274272912,0.0400002022447069,0.00631840075112729,0.338611629034123,0.346470690023262,0.1,0.5,0.5,0.8,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
