model,target_fps,evaluation_mode,n_result_rows,n_unique_recordings,mean_F1,median_F1,std_F1,sem_F1,mean_precision,median_precision,mean_recall,median_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,median_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall
MLspike,10,burst_onsets,60,60,0.340494826120588,0.335571582835183,0.10119593369478,0.0130643388634598,0.250045636466336,0.228768022279668,0.628871498290566,0.663940809968847,0.0966666563103147,0.0999998553391187,-0.0292923081118956,-0.030463896713804,0.228202214162666,0.270478951419434
MLspike,10,spike_bins,60,60,0.486240115830026,0.487134918885705,0.113877761432343,0.0147015557843615,0.460823328985441,0.453896261306041,0.638179698533717,0.65258000364343,0.0333333427573022,0,-0.0302062243002558,-0.0327625809062542,0.344704003829312,0.374059802577643
MLspike,20,burst_onsets,60,60,0.285169589786239,0.273024021697017,0.090814047504194,0.0117240431195144,0.196575193767084,0.183234232321087,0.630759129313884,0.670699921357151,0.0608333139382466,0.0500001767023577,-0.0274936086144671,-0.0297110872030273,0.275897104939297,0.317945377530355
MLspike,20,spike_bins,60,60,0.449429178966763,0.447248355724762,0.124877249305745,0.0161215835627114,0.414782899479045,0.395792123261549,0.635717938013254,0.643439120078464,0.0450000095456536,0.0499999276695593,-0.0286661678185059,-0.0307237694413694,0.346247425264737,0.371060156663772
OASIS,10,burst_onsets,60,60,0.399826703905798,0.430901116427432,0.193230366423134,0.0249459330379452,0.487379664527988,0.46606334841629,0.41974652825264,0.470204402515723,0.0824999876252135,0.0999997563598045,0.0221949865807137,0.0256225525050487,0.184575270483888,0.167445738310046
OASIS,10,spike_bins,60,60,0.381214142387206,0.393485160057643,0.152715960688163,0.0197155457481773,0.716181614453191,0.784690416835759,0.332828601612253,0.322592501837785,0.00833333403601139,0,0.0144267793363205,0.0114409412805271,0.226637687637577,0.235702529339327
OASIS,20,burst_onsets,60,60,0.345627120548028,0.353392282080672,0.158603520688413,0.0204756264758696,0.388657405721369,0.364281458531935,0.477668036982614,0.585415128899095,0.0549999822308299,0.0500000273645397,0.00733485760931352,0.00949971418773291,0.245548751500429,0.29201289577327
OASIS,20,spike_bins,60,60,0.317105331298653,0.324140880433733,0.125853445790667,0.0162476099870023,0.590919803938984,0.646933492632417,0.333549562763949,0.304357592093441,0.0258333295925981,0.037499804502475,0.0075020859228675,0.00747291608587319,0.218175298208899,0.226427838931215
SimpleBaseline,10,burst_onsets,60,60,0.371220933064221,0.386318317930655,0.148111521874478,0.0191211152533763,0.422324314283626,0.417939903234021,0.409162389100459,0.444828954329043,0.0966666632501634,0.0999998553391187,0.0352684307593742,0.0472701488632698,0.127034172225882,0.125655586314447
SimpleBaseline,10,spike_bins,60,60,0.378776178299595,0.378818561273071,0.122964228972949,0.0158746136997156,0.644043084868006,0.620658327180066,0.339697343732099,0.340397610565903,0.0233332927407246,0,0.0281621703444745,0.028285592295042,0.195838431640969,0.201217325072415
SimpleBaseline,20,burst_onsets,60,60,0.402269012579485,0.411570446314451,0.150904972648846,0.0194817481976289,0.421268262686031,0.39177365525121,0.478765633863999,0.539269788182832,0.0508333177578355,0.049999939375259,0.0170059224702372,0.0198918212731231,0.220892279049984,0.230196027429291
SimpleBaseline,20,spike_bins,60,60,0.365096434387462,0.362169059335475,0.100432391568419,0.0129657659988089,0.610476745849268,0.610822715117194,0.334237374392596,0.302013136288998,0.0270833354544886,0.0499994791852454,0.0128525587794029,0.0116332722238679,0.214830406436005,0.204544086689366
